id,segment,name,price_aud_cents,annual_price_aud_cents,interval,trial_days,stripe_env_var,feature_flags,usage_limits,active,sort_order
founder_free,founder,Free (anonymous),0,0,free,0,,"[""svi.public""]","{""profiles"":0,""svi_per_month"":1}",true,10
founder_starter,founder,Starter,2900,29000,monthly,7,STRIPE_PRICE_FOUNDER_STARTER,"[""profile.multi"",""svi.premium""]","{""profiles"":1,""svi_per_month"":10,""monthly_credits"":25}",true,20
founder_growth,founder,Growth,9900,99000,monthly,7,STRIPE_PRICE_FOUNDER_GROWTH,"[""profile.multi"",""cap_table.write"",""data_room.access"",""investor_links.premium"",""term_sheet_ai""]","{""profiles"":3,""svi_per_month"":50,""monthly_credits"":200}",true,30
founder_scale,founder,Scale,29900,299000,monthly,7,STRIPE_PRICE_FOUNDER_SCALE,"[""profile.multi"",""cap_table.write"",""data_room.access"",""investor_links.premium"",""term_sheet_ai"",""esop.manage"",""blockchain.sync"",""advisor_portal"",""white_label""]","{""profiles"":10,""svi_per_month"":-1,""monthly_credits"":1000}",true,40
founder_enterprise,founder,Enterprise,150000,1800000,custom,0,STRIPE_PRICE_FOUNDER_ENTERPRISE,"[""profile.multi"",""cap_table.write"",""data_room.access"",""investor_links.premium"",""term_sheet_ai"",""esop.manage"",""blockchain.sync"",""advisor_portal"",""white_label"",""api.access"",""sso""]","{""profiles"":-1,""svi_per_month"":-1,""monthly_credits"":-1}",true,50
investor_angel,investor_angel,Angel,7900,79000,monthly,7,STRIPE_PRICE_INVESTOR_ANGEL,"[""investor.dealflow"",""investor.watchlist""]","{""watchlist_size"":25,""diligence_packs_per_month"":5}",true,60
investor_advisor,advisor,Advisor,14900,149000,monthly,7,STRIPE_PRICE_INVESTOR_ADVISOR,"[""investor.dealflow"",""advisor.clients"",""white_label""]","{""clients"":25}",true,70
investor_vc_small,investor_vc,VC Small (5-seat min),34900,349000,monthly,7,STRIPE_PRICE_INVESTOR_VC_SMALL,"[""investor.dealflow"",""investor.portfolio"",""investor.lp_export""]","{""seats"":5,""portfolio_size"":50}",true,80
investor_vc_ent,investor_vc,VC Enterprise,250000,3000000,custom,0,STRIPE_PRICE_INVESTOR_VC_ENT,"[""investor.dealflow"",""investor.portfolio"",""investor.lp_export"",""api.access"",""custom_benchmarks""]","{""seats"":-1}",true,90
accelerator_starter,accelerator,Cohort Starter,50000,600000,monthly,7,STRIPE_PRICE_ACCEL_STARTER,"[""accelerator.cohort"",""accelerator.batch_svi""]","{""founders"":15}",true,100
accelerator_growth,accelerator,Cohort Growth,150000,1800000,monthly,7,STRIPE_PRICE_ACCEL_GROWTH,"[""accelerator.cohort"",""accelerator.batch_svi"",""accelerator.lp_report""]","{""founders"":50}",true,110
accelerator_enterprise,accelerator,Cohort Enterprise,350000,4200000,monthly,7,STRIPE_PRICE_ACCEL_ENTERPRISE,"[""accelerator.cohort"",""accelerator.batch_svi"",""accelerator.lp_report"",""api.access""]","{""founders"":100}",true,120
